nombre,v3_usd,v41_usd,desvio_pct,n_zonal,ventana_dias,metodo,estado,p25,p75
macrocentro_catamarca_espana,1580,1666.67,5.5,250,90.0,rolling_90d,auto_aprobable,1305.05,2095.94
macrocentro_tucuman_italia,1650,1469.3,-11.0,219,90.0,rolling_90d,auto_aprobable,1080.13,1888.48
macrocentro_3febrero_francia,1400,1726.93,23.4,202,90.0,rolling_90d,revision_manual,1405.13,1957.5
republica_sexta_interno,1180,1169.13,-0.9,124,90.0,rolling_90d,auto_aprobable,972.63,1282.93
zona_sur_san_martin_saavedra,1100,713.57,-35.1,76,90.0,rolling_90d,revision_manual,600.0,904.17
zona_sur_hospitales,1150,725.0,-37.0,83,90.0,rolling_90d,revision_manual,565.68,993.25
zona_norte_alberdi_rio,1450,1450.0,,0,,sin_datos,mantener_v3,,
zona_norte_arroyito_central,1300,1300.0,,0,,sin_datos,mantener_v3,,
fisherton_evita,1650,1650.0,,0,,sin_datos,mantener_v3,,
fisherton_wilder,1350,1350.0,,0,,sin_datos,mantener_v3,,
zona_oeste_godoy,1100,626.8,-43.0,36,90.0,rolling_90d,revision_manual,528.36,873.22
zona_oeste_ludue̱a,1050,1050.0,,0,,sin_datos,mantener_v3,,
zona_oeste_avellaneda_oeste,1150,1150.0,,0,,sin_datos,mantener_v3,,
zona_oeste_empalme,1000,1000.0,,0,,sin_datos,mantener_v3,,
zona_oeste_felipe_more,1200,750.0,-37.5,57,90.0,rolling_90d,revision_manual,607.14,888.89
zona_oeste_mendoza_oeste,1100,525.22,-52.3,28,90.0,rolling_90d,revision_manual,474.85,660.29
zona_sur_tablada,1000,658.36,-34.2,42,90.0,rolling_90d,revision_manual,577.43,822.41
zona_sur_grandoli,950,950.0,,0,,sin_datos,mantener_v3,,
zona_sur_uriburu,1050,584.11,-44.4,23,90.0,rolling_90d,revision_manual,503.48,766.86
zona_sur_ayolas_oeste,1080,1080.0,,0,,sin_datos,mantener_v3,,
zona_norte_sorrento,1200,1200.0,,0,,sin_datos,mantener_v3,,
zona_norte_parque_field,1100,1100.0,,0,,sin_datos,mantener_v3,,
zona_norte_circunvalacion,1150,685.74,-40.4,42,90.0,rolling_90d,revision_manual,515.46,756.47
fisherton_cordoba_oeste,1250,1425.12,14.0,69,90.0,rolling_90d,revision_manual,1301.78,1627.22
fisherton_golf,1700,1700.0,,0,,sin_datos,mantener_v3,,
sudoeste_amenabar_avellaneda,1100,1100.0,,0,,sin_datos,mantener_v3,,
sudoeste_amenabar_provincias_unidas,1050,1050.0,,0,,sin_datos,mantener_v3,,
sudoeste_uriburu_avellaneda,1080,1080.0,,0,,sin_datos,mantener_v3,,
sudoeste_uriburu_provincias_unidas,1020,1020.0,,0,,sin_datos,mantener_v3,,
sudoeste_bv_segundo_avellaneda,1120,1120.0,,0,,sin_datos,mantener_v3,,
oeste_provincias_unidas_mendoza,1150,1150.0,,0,,sin_datos,mantener_v3,,
oeste_provincias_unidas_cordoba,1120,1120.0,,0,,sin_datos,mantener_v3,,
oeste_ludue̱a_sur,1050,635.51,-39.5,35,90.0,rolling_90d,revision_manual,493.5,711.73
oeste_ludue̱a_norte,1000,1000.0,,0,,sin_datos,mantener_v3,,
oeste_circunvalacion_mendoza,1080,1080.0,,0,,sin_datos,mantener_v3,,
oeste_circunvalacion_pellegrini,1100,1100.0,,0,,sin_datos,mantener_v3,,
oeste_francia_mendoza,1300,1501.75,15.5,202,90.0,rolling_90d,auto_aprobable,1189.91,1834.39
oeste_francia_pellegrini,1280,1534.29,19.9,60,90.0,rolling_90d,revision_manual,1270.37,1976.7
oeste_avellaneda_mendoza,1250,813.55,-34.9,56,90.0,rolling_90d,revision_manual,747.94,894.64
sur_ayolas_circunvalacion,1000,1000.0,,0,,sin_datos,mantener_v3,,
sur_battle_ordonez_san_martin,1020,631.58,-38.1,39,90.0,rolling_90d,revision_manual,494.44,695.19
sur_battle_ordonez_oeste,980,980.0,,0,,sin_datos,mantener_v3,,
sur_grandoli_circunvalacion,950,538.46,-43.3,27,90.0,rolling_90d,revision_manual,500.0,696.15
sur_sanchez_thompson,1050,617.65,-41.2,35,90.0,rolling_90d,revision_manual,482.32,721.97
ayacucho_mendoza,1500,1712.33,14.2,425,90.0,rolling_90d,auto_aprobable,1285.71,2133.33
ayacucho_pellegrini,1400,1713.42,22.4,404,90.0,rolling_90d,revision_manual,1300.48,2229.51
ayacucho_27feb,1300,1402.95,7.9,210,90.0,rolling_90d,auto_aprobable,1167.21,1814.06
ayacucho_segundo_cordoba,1200,1168.83,-2.6,92,90.0,rolling_90d,revision_manual,830.36,1174.01
transicion_martin_sur,1380,1686.42,22.2,386,90.0,rolling_90d,revision_manual,1267.0,2226.43
transicion_pre_sexta,1300,1781.99,37.1,378,90.0,rolling_90d,revision_manual,1401.97,2229.51
macrocentro_sur_san_martin,1350,1517.24,12.4,235,90.0,rolling_90d,auto_aprobable,1161.69,1848.0
macrocentro_sur_italia,1300,1507.27,15.9,216,90.0,rolling_90d,auto_aprobable,1172.57,1809.52
auto_gap_alto_872,980,980.0,,0,,sin_datos,mantener_v3,,
auto_gap_alto_873,1000,1000.0,,0,,sin_datos,mantener_v3,,
auto_gap_alto_878,1380,1380.0,,0,,sin_datos,mantener_v3,,
auto_gap_alto_880,1050,1050.0,,0,,sin_datos,mantener_v3,,
auto_gap_alto_881,1010,1010.0,,0,,sin_datos,mantener_v3,,
auto_gap_alto_882,1630,1630.0,,0,,sin_datos,mantener_v3,,
auto_gap_alto_890,1060,1060.0,,0,,sin_datos,mantener_v3,,
auto_gap_alto_892,1070,1070.0,,0,,sin_datos,mantener_v3,,
auto_gap_medio_893,1250,1624.65,30.0,56,90.0,rolling_90d,revision_manual,879.1,2346.43
auto_gap_medio_896,1560,2135.34,36.9,63,90.0,rolling_90d,revision_manual,1738.21,3015.87
auto_gap_medio_898,1170,699.3,-40.2,41,90.0,rolling_90d,revision_manual,626.98,750.0
auto_gap_medio_901,1000,1000.0,,0,,sin_datos,mantener_v3,,
auto_gap_medio_902,1120,1120.0,,0,,sin_datos,mantener_v3,,
auto_gap_medio_904,1220,1431.95,17.4,53,90.0,rolling_90d,revision_manual,1320.0,1627.22
auto_gap_medio_906,1050,646.81,-38.4,34,90.0,rolling_90d,revision_manual,480.53,880.63
auto_gap_medio_907,1130,548.78,-51.4,21,90.0,rolling_90d,revision_manual,474.38,637.8
auto_gap_medio_910,1160,816.3,-29.6,58,90.0,rolling_90d,revision_manual,675.8,1016.72
auto_gap_medio_911,1870,2360.0,26.2,59,90.0,rolling_90d,revision_manual,1892.08,2661.05
auto_gap_medio_912,990,990.0,,0,,sin_datos,mantener_v3,,
auto_gap_medio_913,1060,1060.0,,0,,sin_datos,mantener_v3,,
auto_gap_medio_914,1060,1060.0,,0,,sin_datos,mantener_v3,,
auto_gap_medio_915,1130,658.33,-41.7,63,90.0,rolling_90d,revision_manual,541.61,829.71
auto_gap_medio_916,1690,1809.46,7.1,338,90.0,rolling_90d,auto_aprobable,1406.8,2032.94
auto_gap_medio_917,1250,1298.16,3.9,119,90.0,rolling_90d,auto_aprobable,989.8,1524.82
auto_gap_medio_919,1620,1620.0,,0,,sin_datos,mantener_v3,,
auto_gap_medio_920,1010,1010.0,,0,,sin_datos,mantener_v3,,
auto_gap_medio_921,1520,1520.0,,0,,sin_datos,mantener_v3,,
auto_gap_medio_922,1240,1774.19,43.1,149,90.0,rolling_90d,revision_manual,1214.29,2202.87
auto_gap_medio_923,1370,1370.0,,0,,sin_datos,mantener_v3,,
auto_gap_medio_924,990,990.0,,0,,sin_datos,mantener_v3,,
auto_gap_medio_925,1530,1771.94,15.8,350,90.0,rolling_90d,auto_aprobable,1358.22,2041.94
auto_gap_medio_926,1150,647.83,-43.7,53,90.0,rolling_90d,revision_manual,535.21,914.63
auto_gap_medio_927,1130,1130.0,,0,,sin_datos,mantener_v3,,
auto_gap_alto_781,1600,1666.67,4.2,183,90.0,rolling_90d,auto_aprobable,1376.61,2324.21
auto_gap_medio_796,1550,1507.21,-2.8,20,180.0,rolling_180d,revision_manual,1389.07,2128.32
auto_gap_medio_798,1610,2000.0,24.2,82,90.0,rolling_90d,revision_manual,1394.89,2383.04
auto_gap_medio_799,1090,742.42,-31.9,33,90.0,rolling_90d,revision_manual,646.15,944.44
auto_gap_medio_800,1200,1401.38,16.8,170,90.0,rolling_90d,auto_aprobable,1162.2,1718.15
auto_gap_medio_801,1370,1851.54,35.1,210,90.0,rolling_90d,revision_manual,1540.36,2183.93
auto_gap_medio_802,1460,2000.0,37.0,296,90.0,rolling_90d,revision_manual,1642.63,2379.18
auto_gap_medio_803,1350,1721.44,27.5,304,90.0,rolling_90d,revision_manual,1271.73,2100.1
auto_gap_medio_804,1380,1777.78,28.8,431,90.0,rolling_90d,revision_manual,1338.27,2265.09
auto_gap_medio_805,1490,1849.99,24.2,427,90.0,rolling_90d,revision_manual,1493.23,2092.44
auto_gap_medio_806,1490,1528.56,2.6,316,90.0,rolling_90d,auto_aprobable,1132.74,2000.0
auto_gap_medio_807,1400,1885.29,34.7,519,90.0,rolling_90d,revision_manual,1416.67,2164.54
