zona,m2,dormitorios,valor_m2,vm2_expected,ratio,anom_type,lat,lon
Pellegrini,425.0,4,1718.0,1688.0,1.0176842844453846,BORDERLINE,-32.93221,-60.752453
Otro,880.0,3,466.0,356.0,1.306931555410265,OVERPRICED,-32.91997057142857,-60.738716142857136
Pellegrini,411.0,5,1849.0,1552.0,1.1914382368073966,BORDERLINE,-32.95607,-60.648792
Otro,327.0,4,428.0,642.0,0.6664477923119088,UNDERPRICED,-33.00125,-60.65377
Otro,310.0,6,419.0,889.0,0.4719487312972211,UNDERPRICED,-32.935925,-60.740135
Otro,440.0,5,2500.0,2160.0,1.1574619434632392,BORDERLINE,-32.909966,-60.75557
Otro,560.0,3,500.0,583.0,0.8582422404668838,BORDERLINE,-32.916534,-60.77212
Otro,450.0,4,1144.0,895.0,1.2786925549529855,BORDERLINE,-32.99804,-60.634064
Otro,436.0,7,619.0,692.0,0.8945583306164481,BORDERLINE,-32.948082,-60.635983
Otro,358.0,3,2095.0,2156.0,0.9715711479257886,BORDERLINE,-32.92177,-60.77066
Otro,233.0,3,416.0,861.0,0.4835872096692409,UNDERPRICED,-32.874781666666664,-60.69222283333334
Otro,470.0,5,1319.0,1304.0,1.0114914718174648,BORDERLINE,-32.92432,-60.741196
Otro,335.0,4,1194.0,1256.0,0.9505281978893615,BORDERLINE,-32.90770283333333,-60.766403833333335
Otro,1429.0,4,2029.0,1753.0,1.1576632138989453,BORDERLINE,-32.948307,-60.65724
Otro,360.0,7,1028.0,1180.0,0.8713692096482911,BORDERLINE,-32.91056,-60.768707
Otro,611.0,5,1637.0,1519.0,1.0773179673507205,BORDERLINE,-32.887825,-60.68804
Otro,384.93,5,1715.0,1545.0,1.1095859649808717,BORDERLINE,-32.924507,-60.742455
Otro,153.0,1,556.0,707.0,0.7855921068918569,BORDERLINE,-32.873318,-60.738716
Otro,540.0,7,722.0,940.0,0.7683755236242887,BORDERLINE,-32.945404,-60.64998
Otro,105.0,5,2810.0,2321.0,1.2102788281949415,BORDERLINE,-32.924896,-60.738575
