id,tipo,v3_usd,v4_usd,v41_usd,n_zonal,recomendacion
zona_sur_tablada,manual,1000,741,655.0,44,usar v4.1
zona_sur_grandoli,manual,950,595,,0,mantener v3
zona_sur_uriburu,manual,1050,725,584.0,23,usar v4.1
zona_sur_ayolas_oeste,manual,1080,689,,0,mantener v3
zona_norte_sorrento,manual,1200,1661,,0,mantener v3
zona_norte_parque_field,manual,1100,691,,0,mantener v3
zona_norte_circunvalacion,manual,1150,771,695.0,43,usar v4.1
fisherton_cordoba_oeste,manual,1250,1045,1469.0,99,usar v4.1
fisherton_golf,manual,1700,1289,,0,mantener v3
sudoeste_amenabar_avellaneda,manual,1100,713,,0,mantener v3
sudoeste_amenabar_provincias_unidas,manual,1050,688,,0,mantener v3
sudoeste_uriburu_avellaneda,manual,1080,826,,0,mantener v3
sudoeste_uriburu_provincias_unidas,manual,1020,1020,,0,mantener v3
sudoeste_bv_segundo_avellaneda,manual,1120,681,,0,mantener v3
oeste_provincias_unidas_mendoza,manual,1150,700,,0,mantener v3
oeste_provincias_unidas_cordoba,manual,1120,743,,0,mantener v3
oeste_ludue̱a_sur,manual,1050,651,629.0,38,usar v4.1
oeste_ludue̱a_norte,manual,1000,616,,0,mantener v3
oeste_circunvalacion_mendoza,manual,1080,885,,0,mantener v3
oeste_circunvalacion_pellegrini,manual,1100,1100,,0,mantener v3
oeste_francia_mendoza,manual,1300,1224,1601.0,226,usar v4.1
oeste_francia_pellegrini,manual,1280,1083,1808.0,76,usar v4.1
oeste_avellaneda_mendoza,manual,1250,956,823.0,66,usar v4.1
sur_ayolas_circunvalacion,manual,1000,696,,0,mantener v3
sur_battle_ordonez_san_martin,manual,1020,667,644.0,47,usar v4.1
sur_battle_ordonez_oeste,manual,980,648,,0,mantener v3
sur_grandoli_circunvalacion,manual,950,636,547.0,30,usar v4.1
sur_sanchez_thompson,manual,1050,646,646.0,37,usar v4.1
ayacucho_mendoza,manual,1500,1522,1752.0,512,usar v4.1
ayacucho_pellegrini,manual,1400,,1819.0,485,usar v4.1
ayacucho_27feb,manual,1300,1164,1488.0,243,usar v4.1
ayacucho_segundo_cordoba,manual,1200,896,1169.0,106,usar v4.1
transicion_martin_sur,manual,1380,,1790.0,461,usar v4.1
transicion_pre_sexta,manual,1300,1569,1862.0,466,usar v4.1
macrocentro_sur_san_martin,manual,1350,,1545.0,276,usar v4.1
macrocentro_sur_italia,manual,1300,,1518.0,259,usar v4.1
auto_gap_alto_872,auto_gap,980,,,0,mantener v3
auto_gap_alto_873,auto_gap,1000,,,0,mantener v3
auto_gap_alto_878,auto_gap,1380,,,0,mantener v3
auto_gap_alto_880,auto_gap,1050,,,0,mantener v3
auto_gap_alto_881,auto_gap,1010,,,0,mantener v3
auto_gap_alto_882,auto_gap,1630,,,0,mantener v3
auto_gap_alto_890,auto_gap,1060,,,0,mantener v3
auto_gap_alto_892,auto_gap,1070,,,0,mantener v3
auto_gap_medio_893,auto_gap,1250,,1878.0,63,usar v4.1
auto_gap_medio_896,auto_gap,1560,,2135.0,67,usar v4.1
auto_gap_medio_898,auto_gap,1170,,686.0,44,usar v4.1
auto_gap_medio_901,auto_gap,1000,,,0,mantener v3
auto_gap_medio_902,auto_gap,1120,,,0,mantener v3
auto_gap_medio_904,auto_gap,1220,,1478.0,81,usar v4.1
auto_gap_medio_906,auto_gap,1050,,647.0,39,usar v4.1
auto_gap_medio_907,auto_gap,1130,,549.0,23,usar v4.1
auto_gap_medio_910,auto_gap,1160,,816.0,58,usar v4.1
auto_gap_medio_911,auto_gap,1870,,2360.0,63,usar v4.1
auto_gap_medio_912,auto_gap,990,,,0,mantener v3
auto_gap_medio_913,auto_gap,1060,,,0,mantener v3
auto_gap_medio_914,auto_gap,1060,,,0,mantener v3
auto_gap_medio_915,auto_gap,1130,,664.0,64,usar v4.1
auto_gap_medio_916,auto_gap,1690,,1827.0,377,usar v4.1
auto_gap_medio_917,auto_gap,1250,,1300.0,121,usar v4.1
auto_gap_medio_919,auto_gap,1620,,,0,mantener v3
auto_gap_medio_920,auto_gap,1010,,,0,mantener v3
auto_gap_medio_921,auto_gap,1520,,,0,mantener v3
auto_gap_medio_922,auto_gap,1240,,1938.0,208,usar v4.1
auto_gap_medio_923,auto_gap,1370,,,0,mantener v3
auto_gap_medio_924,auto_gap,990,,,0,mantener v3
auto_gap_medio_925,auto_gap,1530,,1850.0,448,usar v4.1
auto_gap_medio_926,auto_gap,1150,,651.0,54,usar v4.1
auto_gap_medio_927,auto_gap,1130,,,0,mantener v3
auto_gap_alto_781,auto_gap,1600,1505,1739.0,210,usar v4.1
auto_gap_medio_796,auto_gap,1550,1404,1507.0,20,usar v4.1
auto_gap_medio_798,auto_gap,1610,1892,2000.0,87,usar v4.1
auto_gap_medio_799,auto_gap,1090,880,750.0,34,usar v4.1
auto_gap_medio_800,auto_gap,1200,1262,1432.0,198,usar v4.1
auto_gap_medio_801,auto_gap,1370,1699,1860.0,230,usar v4.1
auto_gap_medio_802,auto_gap,1460,1882,2066.0,349,usar v4.1
auto_gap_medio_803,auto_gap,1350,1270,1882.0,398,usar v4.1
auto_gap_medio_804,auto_gap,1380,1157,1866.0,535,usar v4.1
auto_gap_medio_805,auto_gap,1490,1823,1900.0,572,usar v4.1
auto_gap_medio_806,auto_gap,1490,1404,1579.0,378,usar v4.1
auto_gap_medio_807,auto_gap,1400,1333,1956.0,628,usar v4.1
