ph,lat_centroide,lon_centroide,direccion_nueva,direccion_anterior,distancia_m,sec,mza,graf
4571,-32.941647,-60.643419,Justo José de Urquiza 1548,Justo José de Urquiza 1514,40.5,1.0,61.0,8.0
4854,-32.94200929042145,-60.64122795632184,Corrientes 483,Justo José de Urquiza 1348,61.2,1.0,63.0,12.0
19627,-32.94223390022957,-60.63944516764758,Justo José de Urquiza,Justo José de Urquiza,35.2,1.0,64.0,16.0
1119,-32.94291440857518,-60.635941658003226,José de San Martín,José de San Martín,44.6,1.0,66.0,14.0
1910,-32.94285300000001,-60.635926,José de San Martín,José de San Martín,45.0,1.0,66.0,14.0
8092,-32.94285493579553,-60.63646875077964,José de San Martín,Sarmiento,34.5,1.0,66.0,18.0
4172,-32.94148241874908,-60.64948239489623,Mariano Moreno 555,San Lorenzo 1944,50.4,1.0,70.0,26.0
592,-32.94156113216791,-60.64932854315942,Manuel Dorrego,San Lorenzo 1944,33.8,1.0,70.0,26.0
8607,-32.94182229600398,-60.64969446850335,San Lorenzo 1996,San Lorenzo 1944,54.9,1.0,70.0,26.0
172,-32.94272474444039,-60.6428405818933,Corrientes,San Lorenzo 1460,32.0,1.0,75.0,17.0
5495,-32.94238443492085,-60.64192476246938,Justo José de Urquiza 1427,Corrientes,33.0,1.0,75.0,7.0
898,-32.94252904186848,-60.64255450260719,Corrientes,San Lorenzo 1460,62.6,1.0,75.0,17.0
21798,-32.94317366772579,-60.63854883678493,Bartolomé Mitre,Justo José de Urquiza,32.0,1.0,78.0,1.0
2463,-32.943918415654764,-60.638202710251775,San Lorenzo,Sarmiento,30.5,1.0,78.0,8.0
3019,-32.943877,-60.63837399999999,San Lorenzo 1156,Sarmiento,31.7,1.0,78.0,8.0
828,-32.9429438365708,-60.638500385591904,Justo José de Urquiza 1185,Justo José de Urquiza,37.9,1.0,78.0,1.0
12886,-32.943239854233944,-60.63688472410458,Justo José de Urquiza 1077,Justo José de Urquiza,37.6,1.0,79.0,1.0
705,-32.94344402246663,-60.636937935651154,San Lorenzo,Justo José de Urquiza,45.2,1.0,79.0,1.0
738,-32.9433619840423,-60.63691654450853,José de San Martín,Justo José de Urquiza,40.7,1.0,79.0,1.0
8701,-32.944336578416426,-60.63662495894214,San Lorenzo 1032,Justo José de Urquiza,51.0,1.0,79.0,2.0
3734,-32.94489669311609,-60.63386958256251,Justo José de Urquiza,Justo José de Urquiza 879,40.1,1.0,81.0,2.0
5003,-32.94513205987859,-60.63307596578367,Justo José de Urquiza 802,Avenida Manuel Belgrano 341,33.2,1.0,82.0,3.0
10843,-32.94539453222836,-60.63297839502762,Francisco Narciso Laprida 507,Francisco Narciso Laprida,30.8,1.0,83.0,1.0
10360,-32.94534877208982,-60.635351707883984,San Lorenzo 955,Santa Fe,33.0,1.0,96.0,7.0
652,-32.94661406117413,-60.631893296398005,Santa Fe 656,Santa Fe 672,33.2,1.0,99.0,20.0
14623,-32.94372237854613,-60.64854365205454,Italia,Manuel Dorrego 747,36.1,1.0,104.0,24.0
2562,-32.94436202673654,-60.6481264388846,Córdoba 1852,Italia,31.0,1.0,104.0,16.0
12470,-32.94400992486046,-60.64703138400825,Santa Fe,Santa Fe,52.7,1.0,105.0,34.0
436,-32.94510170264562,-60.64818772261976,Italia 838,Córdoba,33.1,1.0,121.0,9.0
7214,-32.9447412929021,-60.64888146231232,Córdoba,Manuel Dorrego 837,33.7,1.0,121.0,1.0
907,-32.94810929334987,-60.63426235089498,Francisco Narciso Laprida 870,Rioja,36.8,1.0,131.0,11.0
20892,-32.94518319662334,-60.65255915094441,Rioja 2123,Rioja 2149,32.1,1.0,136.0,3.0
