ph,year,seccion,manzana,grafico,division,latitud,longitud,direccion_nominatim
14772,2000.0,1.0,7.0,2.0,,-32.93415040000001,-60.6475506,Güemes 1977
16208,2006.0,1.0,7.0,12.0,,-32.9346142,-60.646883200000005,Manuel Dorrego 40 bis
17516,2010.0,1.0,7.0,7.0,,-32.93414159999999,-60.64677819999999,Güemes 1901
17562,2010.0,1.0,7.0,1.0,,-32.93392307692308,-60.64772899999999,Güemes 1999
18054,2011.0,1.0,7.0,19.0,,-32.934771833333336,-60.647289666666666,Almirante Brown 1932
18133,2011.0,1.0,7.0,7.0,,-32.93414159999999,-60.64677819999999,Güemes 1901
18286,2012.0,1.0,7.0,34.0,,-32.934035800000004,-60.6478304,Mariano Moreno 99 bis
20427,2017.0,1.0,7.0,7.0,,-32.93414159999999,-60.64677819999999,Güemes 1901
20429,2017.0,1.0,7.0,24.0,,-32.93475585714286,-60.64785228571429,Almirante Brown 1988
20591,2018.0,1.0,7.0,17.0,,-32.93499114285714,-60.64703028571428,Almirante Brown 1904
21759,2022.0,1.0,7.0,33.0,,-32.934262,-60.647677,Mariano Moreno 100 bis
21873,2022.0,1.0,7.0,31.0,,-32.9343098,-60.6479088,Mariano Moreno 100 bis
21965,2022.0,1.0,7.0,23.0,,-32.93472814285714,-60.64774971428572,Almirante Brown 1978
22251,2023.0,1.0,7.0,33.0,,-32.934262,-60.647677,Mariano Moreno 100 bis
22518,2024.0,1.0,7.0,8.0,,-32.93429608333334,-60.64698075,Manuel Dorrego 76 bis
2963,1968.0,1.0,7.0,16.0,,-32.93490671428572,-60.64706685714286,Almirante Brown 1908
3191,2024.0,1.0,7.0,8.0,,-32.93429608333334,-60.64698075,Manuel Dorrego 76 bis
7256,1978.0,1.0,7.0,14.0,,-32.934735625,-60.64707799999999,Manuel Dorrego 40 bis
7557,1978.0,1.0,7.0,23.0,,-32.93472814285714,-60.64774971428572,Almirante Brown 1978
8097,1979.0,1.0,7.0,15.0,,-32.934824400000004,-60.64703,Manuel Dorrego 40 bis
8137,1979.0,1.0,7.0,4.0,,-32.934189875,-60.64739625,Güemes 1961
8178,1979.0,1.0,7.0,30.0,,-32.93456916666667,-60.64799816666666,Mariano Moreno 2 bis
8834,1981.0,1.0,7.0,20.0,,-32.9348146,-60.6473822,Almirante Brown 1940
10030,1983.0,1.0,8.0,1.0,,-32.93423733333333,-60.64648983333334,Manuel Dorrego 99 bis
12079,1989.0,1.0,8.0,3.0,,-32.934330222222215,-60.64606422222222,Güemes 1833
13875,1996.0,1.0,8.0,3.0,,-32.934330222222215,-60.64606422222222,Güemes 1833
14351,1998.0,1.0,8.0,4.0,,-32.9347296,-60.6456572,Italia 99 bis
1444,2019.0,1.0,8.0,18.0,,-32.934628200000006,-60.6464028,Manuel Dorrego 40 bis
15922,2005.0,1.0,8.0,4.0,,-32.9347296,-60.6456572,Italia 99 bis
16252,2006.0,1.0,8.0,22.0,,-32.93453694117647,-60.64586476470589,Güemes 1801
16271,2006.0,1.0,8.0,14.0,,-32.935058777777776,-60.64670155555556,Almirante Brown 1899
16319,2006.0,1.0,8.0,8.0,,-32.935081466367535,-60.64606975480786,Almirante Brown 1844
16415,2007.0,1.0,8.0,8.0,,-32.93511435706101,-60.64589642348847,Italia 44
16547,2007.0,1.0,8.0,8.0,,-32.935216750842415,-60.64570006215631,Italia 43
16721,2008.0,1.0,8.0,8.0,,-32.93508485962693,-60.64566754378753,Italia 43
17553,2010.0,1.0,8.0,1.0,,-32.93423733333333,-60.64648983333334,Manuel Dorrego 99 bis
18289,2012.0,1.0,8.0,19.0,,-32.93454411111111,-60.64630666666668,Manuel Dorrego 40 bis
18598,2012.0,1.0,8.0,13.0,,-32.93505275,-60.646628625,Almirante Brown 1890
19205,2014.0,1.0,8.0,21.0,,-32.93432142857143,-60.64649471428571,Manuel Dorrego 99 bis
19443,2015.0,1.0,8.0,1.0,,-32.93423733333333,-60.64648983333334,Manuel Dorrego 99 bis
20314,2017.0,1.0,8.0,23.0,,-32.93478981818183,-60.64645890909092,Manuel Dorrego 40 bis
